MPIIprobe,blocking,bufferSize,compression,dataSize,fileCount,filename,ioGroupSize,layout,nCompute,nMaster,nProcs,nRead,nWrite,ost,sys,transport,type
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.MPI_AMR.b4.is-1.ost-MPI_AMR,1199,coloc,1199,1,1200,1199,1199,1,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is-1-MPI_LUSTRE,1199,coloc,1199,1,1200,1199,1199,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is-1.ost-MPI_LUSTRE,1199,coloc,1199,1,1200,1199,1199,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is15.ost-MPI_LUSTRE,15,coloc,1199,1,1200,1199,1199,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is-1-POSIX,1199,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is-1.ost-POSIX,1199,coloc,1199,1,1200,1199,1199,1,kids,POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is1-POSIX,1,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is1.ost-POSIX,1,coloc,1199,1,1200,1199,1199,1,kids,POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is15-POSIX,15,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is15.ost-POSIX,15,coloc,1199,1,1200,1199,1199,1,kids,POSIX,TCGA-GBM
